scenario,al_al_resistance_multiplier,electrical_network_percolates,solver,nx,ny,applied_voltage_v,ambient_temperature_k,top_current_a_per_m_depth,electric_power_w_per_m_depth,electric_relative_balance_error,voltage_min_v,voltage_max_v,temperature_min_k,temperature_max_k,temperature_rise_max_k,field_csv,joule_hotspot_x_um,joule_hotspot_y_um,joule_hotspot_w_m3,temperature_hotspot_x_um,temperature_hotspot_y_um
multiplier_1,1.0,False,structured_finite_volume_parallel_check,81,43,0.1,293.15,2097.7020404615564,209.77020404614325,5.907352461233994e-14,0.0,0.1,293.15,294.011355132338,0.8613551323380193,fvm_fields.csv,84.99999999999999,94.41124157142855,64525233323.38508,84.99999999999999,94.41124157142855
multiplier_10,10.0,False,structured_finite_volume_parallel_check,81,43,0.1,293.15,325.1069953718656,32.51069953718605,1.5736073878142846e-14,0.0,0.1,293.15,293.26755524763246,0.11755524763248104,fvm_fields.csv,84.99999999999999,203.72952128571427,11185310791.213581,84.99999999999999,94.41124157142855
multiplier_100,100.0,False,structured_finite_volume_parallel_check,81,43,0.1,293.15,78.1763925661471,7.817639256614825,1.4655961010783343e-14,0.0,0.1,293.15,293.16872200471835,0.018722004718370044,fvm_fields.csv,84.99999999999999,203.72952128571427,1390827423.8572288,84.99999999999999,99.3802542857143
