artifact,calibration_diagnosis,chain_coverage,d1_delta,d1_first,d1_last,d1_trend,diamond_size_case,e_al_emax_gpa,final_settle_steps,initial_settle_steps,liggghts_commit,min_chain_length,mu_al_al,mu_al_diamond,mu_al_tool,mu_al_wall,mu_diamond_diamond,mu_diamond_tool,mu_diamond_wall,mu_scale,mu_wall_scale,p95_mpa,participation_delta,participation_first,participation_last,participation_trend,particle_count_scale,particle_count_total,seed_index,stage_settle_steps,status,threshold_factor,time_step_seconds,top_velocity_cm_s,trend_score,zhang_stage_status
dia60al40-dem-artifacts-sizeE-pscale2-Emax96.417-mu0.693-wallmu1-seed0-settle1-vel50,needs_physics_calibration,1.0,0.0,0.0,0.0,flat,E,96.417,50000,20000,3d5c00f20519e6bb6eb6756f51f1ad36564e649d,3,0.2079,0.2079,0.05544,0.05544,0.0693,0.05544,0.05544,0.693,1.0,702.232074,-0.24974529486753883,0.8702579839945167,0.6205126891269779,decreasing,2,129,0,20000,review,0.5,2e-10,50.0,0,review
dia60al40-dem-artifacts-sizeE-pscale2-Emax96.417-mu0.693-wallmu1-seed0-settle1-vel50,needs_physics_calibration,1.0,0.0,0.0,0.0,flat,E,96.417,50000,20000,3d5c00f20519e6bb6eb6756f51f1ad36564e649d,4,0.2079,0.2079,0.05544,0.05544,0.0693,0.05544,0.05544,0.693,1.0,702.232074,-0.24974529486753883,0.8702579839945167,0.6205126891269779,decreasing,2,129,0,20000,review,0.5,2e-10,50.0,0,review
dia60al40-dem-artifacts-sizeE-pscale2-Emax96.417-mu0.693-wallmu1-seed0-settle1-vel50,needs_physics_calibration,1.0,0.0,0.0,0.0,flat,E,96.417,50000,20000,3d5c00f20519e6bb6eb6756f51f1ad36564e649d,2,0.2079,0.2079,0.05544,0.05544,0.0693,0.05544,0.05544,0.693,1.0,702.232074,-0.3001738119889198,0.9522324378261307,0.6520586258372109,decreasing,2,129,0,20000,review,0.75,2e-10,50.0,0,review
dia60al40-dem-artifacts-sizeE-pscale2-Emax96.417-mu0.693-wallmu1-seed0-settle1-vel50,needs_physics_calibration,1.0,0.0,0.0,0.0,flat,E,96.417,50000,20000,3d5c00f20519e6bb6eb6756f51f1ad36564e649d,3,0.2079,0.2079,0.05544,0.05544,0.0693,0.05544,0.05544,0.693,1.0,702.232074,-0.3001738119889198,0.9522324378261307,0.6520586258372109,decreasing,2,129,0,20000,review,0.75,2e-10,50.0,0,review
dia60al40-dem-artifacts-sizeE-pscale2-Emax96.417-mu0.693-wallmu1-seed0-settle1-vel50,needs_physics_calibration,1.0,0.0,0.0,0.0,flat,E,96.417,50000,20000,3d5c00f20519e6bb6eb6756f51f1ad36564e649d,4,0.2079,0.2079,0.05544,0.05544,0.0693,0.05544,0.05544,0.693,1.0,702.232074,-0.3001738119889198,0.9522324378261307,0.6520586258372109,decreasing,2,129,0,20000,review,0.75,2e-10,50.0,0,review
dia60al40-dem-artifacts-sizeE-pscale2-Emax96.417-mu0.693-wallmu1-seed0-settle1-vel50,needs_physics_calibration,1.0,0.9693002509054823,0.0,0.9693002509054823,increasing,E,96.417,50000,20000,3d5c00f20519e6bb6eb6756f51f1ad36564e649d,2,0.2079,0.2079,0.05544,0.05544,0.0693,0.05544,0.05544,0.693,1.0,702.232074,-0.2667498245850658,0.9522324378261307,0.6854826132410649,decreasing,2,129,0,20000,review,1.0,2e-10,50.0,0,review
dia60al40-dem-artifacts-sizeE-pscale2-Emax96.417-mu0.693-wallmu1-seed0-settle1-vel50,needs_physics_calibration,1.0,0.9693002509054823,0.0,0.9693002509054823,increasing,E,96.417,50000,20000,3d5c00f20519e6bb6eb6756f51f1ad36564e649d,3,0.2079,0.2079,0.05544,0.05544,0.0693,0.05544,0.05544,0.693,1.0,702.232074,-0.2667498245850658,0.9522324378261307,0.6854826132410649,decreasing,2,129,0,20000,review,1.0,2e-10,50.0,0,review
dia60al40-dem-artifacts-sizeE-pscale2-Emax96.417-mu0.693-wallmu1-seed0-settle1-vel50,needs_physics_calibration,1.0,0.0,0.0,0.0,flat,E,96.417,50000,20000,3d5c00f20519e6bb6eb6756f51f1ad36564e649d,4,0.2079,0.2079,0.05544,0.05544,0.0693,0.05544,0.05544,0.693,1.0,702.232074,-0.2667498245850658,0.9522324378261307,0.6854826132410649,decreasing,2,129,0,20000,review,1.0,2e-10,50.0,0,review
dia60al40-dem-artifacts-sizeE-pscale2-Emax96.417-mu0.693-wallmu1-seed0-settle1-vel50,needs_physics_calibration,1.0,1.699157420611813,0.0,1.699157420611813,increasing,E,96.417,50000,20000,3d5c00f20519e6bb6eb6756f51f1ad36564e649d,2,0.2079,0.2079,0.05544,0.05544,0.0693,0.05544,0.05544,0.693,1.0,702.232074,-0.24956398850033135,0.9522324378261307,0.7026684493257993,decreasing,2,129,0,20000,review,1.25,2e-10,50.0,0,review
dia60al40-dem-artifacts-sizeE-pscale2-Emax96.417-mu0.693-wallmu1-seed0-settle1-vel50,needs_physics_calibration,1.0,1.0876318982693727,0.0,1.0876318982693727,increasing,E,96.417,50000,20000,3d5c00f20519e6bb6eb6756f51f1ad36564e649d,3,0.2079,0.2079,0.05544,0.05544,0.0693,0.05544,0.05544,0.693,1.0,702.232074,-0.24956398850033135,0.9522324378261307,0.7026684493257993,decreasing,2,129,0,20000,review,1.25,2e-10,50.0,0,review
